,Shares Outstanding,Float Shares,Float Percentage,IO%,Insider%,Months Left,Accumulated Deficit,Net Working Capital
191,9904000.0,6965483.2,0.7033,0.36,29.31,25.04660348344369,-10600358.0,14963631.0
192,56570000.0,47547085.0,0.8405,13.69,2.26,12.020339550754676,-125459000.0,55292000.0
193,2235000.0,966190.5,0.4323,42.02,14.75,2.108095252685509,-64354439.0,10818628.0
194,11890000.0,11615341.0,0.9769,0.89,1.42,0.016555099690491615,-6036000.0,-35123000.0
195,43620000.0,42603654.0,0.9767,0.18,2.15,0.2130365252990469,-123604000.0,-17518000.0
196,148560000.0,137833968.0,0.9278,4.42,2.8,5.243607006980049,-104597748.0,6773725.0
197,63640000.0,35224740.0,0.5535,29.12,15.53,,,
198,6710000.0,4446717.0,0.6627,2.36,31.37,3.331103562407456,-236932000.0,3176000.0
199,13390000.0,12131340.0,0.9059999999999999,9.01,0.39,6.25160797501605,-245717189.0,8333785.0
200,41630000.0,36559466.0,0.8782,6.64,5.54,6.992947301181082,-263140660.0,17728557.0
201,56730000.0,49355100.0,0.87,1.56,11.44,0.6905962453351566,-308136000.0,-12287000.0
202,9491000.0,7742757.8,0.8158,1.62,16.8,1.9928388143590128,-10333283.0,-467643.0
203,10740000.0,10479018.0,0.9757,0.2,2.23,33.08260348846228,-25880586.0,12505475.0
204,50120000.0,46842152.0,0.9346,2.12,4.42,0.5364156724745278,-25350392.0,-5166264.0
205,80070000.0,24781665.0,0.3095,3.84,65.21,0.4435321179905573,-29361937.0,-1264368.0
206,11750000.0,10645500.0,0.9059999999999999,9.01,0.39,6.438150832753553,-21439160.0,3829331.0
207,4627000.0,3746944.6,0.8098,9.43,9.59,4.479051229321026,-100246894.0,2909610.0
208,47900000.0,39177410.0,0.8179,2.8,15.41,4.894632386107354,-208103000.0,29050000.0
209,75680000.0,44673904.0,0.5903,17.36,23.61,12.182648401826484,-79000000.0,338000000.0
210,11600000.0,8200040.000000001,0.7069000000000001,17.79,11.52,0.9078672123692588,-1506000.0,9012000.0
211,88010000.0,50139297.0,0.5697,13.78,29.25,12.398218755764013,-436234000.0,110636000.0
