,Market Capitalization,Current Liabilities,Shares,Cash,Operating Expenses,Current Ratio,PE Ratio,Earnings/Share,Debt/Equity,Debt,Current Debt,Interest Expense,Revenue,Price/Sales
294,54134335.0,66642819.0,23233620.0,13394156.0,19484609.0,1.162,-1.207,-0.38,3.3539999999999996,74521447.0,54801334.0,2031697.0,220320323.0,0.065
295,69023206.0,6878000.0,16356210.0,2776000.0,6339000.0,0.583,-1.709,-0.38,-0.262,0.0,0.0,0.0,0.0,131.976
296,31808323.0,3629864.0,31493389.0,2836743.0,4447925.0,0.7809999999999999,-1.423,-0.15,0.226,1295412.0,319214.0,3991.0,0.0,
297,129766000.0,1266600000.0,71300000.0,450700000.0,265000000.0,1.516,-1.328,-0.18,-8.98,2384200000.0,273900000.0,33900000.0,1409500000.0,0.021
298,20944251.0,19387711.0,11023870.0,806245.0,4609270.0,0.7340000000000001,-2.8789999999999996,-0.03,5.6160000000000005,8820773.0,7241190.0,517391.0,11602722.0,0.528
299,20146095.0,108934747.0,32977082.0,135056.0,1596644.0,0.18600000000000005,-0.091,-0.03,-1.768,38170391.0,6725389.0,124385.0,342058.0,420.973
300,30072627.0,14456000.0,128077628.0,6272000.0,4459000.0,0.542,-0.978,-0.03,-3.9760000000000004,2013000.0,656000.0,0.0,4605000.0,3.384
301,42220896.0,31988000.0,76598143.0,29317000.0,62109000.0,1.285,-0.138,-0.23,6.813,126856000.0,3612000.0,2838000.0,43100000.0,0.22
302,32698748.0,19833000.0,40368825.0,362000.0,5211000.0,0.11699999999999999,-2.314,-0.1,6.216,2182000.0,1077000.0,97000.0,2688000.0,1.7080000000000002
303,60808375.0,36755566.0,162026045.0,2632886.0,80507663.0,0.203,-0.45799999999999996,-0.92,1.995,12145865.0,4372788.0,3660806.0,63393.0,1.364
304,126178856.0,,16218362.0,62321000.0,1459000.0,,-4.523,-0.01,1.885,272554000.0,,4370000.0,9635000.0,2.865
305,28315022.0,7894457.0,29257101.0,6875273.0,4872666.0,2.057,-1.2570000000000001,-0.1,1.629,11335127.0,2227961.0,343603.0,125000.0,56.63
306,135809428.0,9174000.0,70734077.0,13526000.0,9542000.0,1.9180000000000001,-2.233,0.1,1.859,2313000.0,841000.0,27000.0,3916000.0,13.770999999999999
307,75954545.0,41312000.0,58879492.0,14200000.0,9973000.0,0.47100000000000003,-1.72,-0.15,-30.115,15837000.0,3374000.0,890000.0,9699000.0,2.001
308,20944251.0,19387711.0,11023870.0,806245.0,4609270.0,0.7340000000000001,-2.8789999999999996,-0.03,5.6160000000000005,8820773.0,7241190.0,517391.0,11602722.0,0.528
309,55896756.0,19241000.0,9704298.0,5763000.0,6412000.0,2.679,-7.024,0.08,0.542,3905000.0,501000.0,43000.0,19132000.0,0.789
310,27908543.0,60572000.0,100752864.0,11213000.0,11827000.0,0.312,-0.213,-0.29,-1.838,44775000.0,42902000.0,1690000.0,3069000.0,3.3480000000000003
311,49435961.0,700379.0,10746948.0,6995525.0,2332305.0,11.087,-6.132999999999999,-0.22,0.036000000000000004,168452.0,8288.0,0.0,0.0,
312,23866213.0,10662601.0,16459457.0,5185321.0,4733451.0,2.314,-24.166999999999998,0.07,0.38299999999999995,2288436.0,1939192.0,54097.0,18424920.0,0.409
313,118020802.0,47044031.0,70671139.0,24868416.0,7540802.0,0.67,-2.8789999999999996,0.02,-2.451,39020000.0,19620000.0,5563263.0,2614.0,313.4170000000001
314,102134495.0,1387000.0,24729902.0,23081000.0,1576000.0,16.834,-15.296,-0.09,0.063,90000.0,90000.0,0.0,0.0,
315,48274939.0,3883000.0,17618591.0,13219000.0,7616000.0,14.275,-1.864,-0.43,0.327,9681000.0,0.0,277000.0,0.0,
316,21028491.0,121861000.0,40290640.0,15474000.0,5175000.0,0.551,-1.214,-0.05,-3.4960000000000004,51758000.0,39236000.0,1618000.0,11512000.0,0.48200000000000004
317,161695901.0,23200000.0,47557618.0,51502000.0,13818000.0,3.065,113.333,-0.16,0.648,27481000.0,4759000.0,-171000.0,19384000.0,2.017
318,20944251.0,19387711.0,11023870.0,806245.0,4609270.0,0.7340000000000001,-2.8789999999999996,-0.03,5.6160000000000005,8820773.0,7241190.0,517391.0,11602722.0,0.528
319,168053716.0,66616000.0,11986713.0,56669000.0,4537000.0,1.151,32.605,0.04,0.774,9070000.0,9070000.0,96000.0,76191000.0,0.585
320,49925395.0,3922999.0,15361660.0,8996860.0,4887912.0,10.042,-2.031,-0.25,0.188,0.0,0.0,0.0,575801.0,8.606
321,36251074.0,9144681.0,29959565.0,13563791.0,8889519.0,2.9019999999999997,-0.7859999999999999,-0.29,0.435,2018203.0,598323.0,0.0,674942.0,15.165999999999999
322,53686961.0,45735467.0,32936786.0,23894370.0,6730460.0,1.209,81.5,0.02,2.634,41986472.0,24470907.0,0.0,33363282.0,0.473
323,27111986.0,250814000.0,35210371.0,75890000.0,45197000.0,1.4369999999999998,-0.44299999999999995,0.6,21.71,214949000.0,16273000.0,4617000.0,280130000.0,0.047
324,49996843.0,1125516.0,21007077.0,2821882.0,2629869.0,5.2139999999999995,-5.064,-0.13,0.214,94219.0,53384.0,0.0,0.0,199.987
325,63584063.0,222810000.0,21664076.0,8223000.0,75517000.0,1.53,7.337999999999999,0.02,2.819,352372000.0,74220000.0,849000.0,244094000.0,0.064
326,49925395.0,3922999.0,15361660.0,8996860.0,4887912.0,10.042,-2.031,-0.25,0.188,0.0,0.0,0.0,575801.0,8.606
327,28518399.0,24627411.0,23934871.0,12803036.0,8246002.0,0.633,-1.295,-0.13,0.613,13833616.0,13833616.0,678684.0,6457060.0,1.094
328,93675201.0,12498000.0,30814211.0,25895000.0,10659000.0,5.053,-2.097,-0.35,1.063,33589000.0,3302000.0,397000.0,93000.0,156.125
329,22130795.0,2449335.0,4863911.0,6376557.0,3085564.0,4.5,-0.765,-0.4,0.363,4558495.0,623905.0,1560315.0,976824.0,4.218
330,40503449.0,20100399.0,43088776.0,1333559.0,8184026.0,0.325,-0.461,-0.62,-1.158,10982346.0,7457701.0,597665.0,0.0,5.722
