,Stock,Date
527,YGYI,2020-05-04 09:30:00-04:00
528,KLXE,2020-05-04 09:30:00-04:00
529,ANIX,2020-05-04 09:30:00-04:00
530,OSTK,2020-04-30 09:30:00-04:00
531,VXRT,2020-04-30 09:30:00-04:00
532,ACRX,2020-04-30 09:30:00-04:00
533,SNGX,2020-04-30 09:30:00-04:00
534,WLL,2020-04-29 09:30:00-04:00
535,BWEN,2020-04-29 09:30:00-04:00
536,CMRX,2020-04-29 09:30:00-04:00
537,DARE,2020-04-28 09:30:00-04:00
538,BWEN,2020-04-28 09:30:00-04:00
539,MEDS,2020-04-27 09:30:00-04:00
540,MMLP,2020-04-27 09:30:00-04:00
541,VCNX,2020-04-27 09:30:00-04:00
542,PSTI,2020-04-24 09:30:00-04:00
543,THMO,2020-04-24 09:30:00-04:00
544,SAVA,2020-04-23 09:30:00-04:00
545,ENZ,2020-04-23 09:30:00-04:00
546,WLL,2020-04-23 09:30:00-04:00
547,BRQS,2020-04-23 09:30:00-04:00
548,IMUX,2020-04-22 09:30:00-04:00
549,BIMI,2020-04-21 09:30:00-04:00
550,OPGN,2020-04-21 09:30:00-04:00
551,AVCT,2020-04-21 09:30:00-04:00
552,WATT,2020-04-21 09:30:00-04:00
553,LIFE,2020-04-21 09:30:00-04:00
554,VXRT,2020-04-21 09:30:00-04:00
555,BRQS,2020-04-20 09:30:00-04:00
556,MBRX,2020-04-20 09:30:00-04:00
557,EDSA,2020-04-20 09:30:00-04:00
558,AVCO,2020-04-20 09:30:00-04:00
559,AVCT,2020-04-20 09:30:00-04:00
560,OPGN,2020-04-16 09:30:00-04:00
561,SNGX,2020-04-16 09:30:00-04:00
562,THMO,2020-04-16 09:30:00-04:00
563,PULM,2020-04-16 09:30:00-04:00
564,CEMI,2020-04-16 09:30:00-04:00
565,BIMI,2020-04-15 09:30:00-04:00
566,CEMI,2020-04-15 09:30:00-04:00
567,MBRX,2020-04-14 09:30:00-04:00
568,NBEV,2020-04-14 09:30:00-04:00
569,ATHX,2020-04-13 09:30:00-04:00
570,YGYI,2020-04-13 09:30:00-04:00
571,CTSO,2020-04-13 09:30:00-04:00
572,WORX,2020-04-13 09:30:00-04:00
573,PSTI,2020-04-13 09:30:00-04:00
574,BSGM,2020-04-09 09:30:00-04:00
575,TUP,2020-04-09 09:30:00-04:00
576,CLSK,2020-04-09 09:30:00-04:00
577,MBRX,2020-04-09 09:30:00-04:00
578,PSTI,2020-04-09 09:30:00-04:00
579,MBRX,2020-04-08 09:30:00-04:00
580,PSTI,2020-04-07 09:30:00-04:00
581,OSTK,2020-04-06 09:30:00-04:00
582,EXPR,2020-04-06 09:30:00-04:00
583,ONCS,2020-04-06 09:30:00-04:00
584,ECOR,2020-04-03 09:30:00-04:00
585,BMRA,2020-04-02 09:30:00-04:00
586,IO,2020-04-02 09:30:00-04:00
587,QUMU,2020-04-01 09:30:00-04:00
